TransactionID,Date,Type,Amount,BalanceAfter,Description
TXN-CA617ADA,2026-07-30T22:45:18.004586800,Credit,15000.0,40000.0,"Salary credit - July 2026"
TXN-2DEFF161,2026-07-30T22:45:18.012993800,Credit,5000.0,45000.0,"Freelance income"
TXN-057E47CE,2026-07-30T22:45:18.019179200,Debit,3000.0,42000.0,"Electricity bill"
TXN-D142FEDA,2026-07-30T22:45:18.023905200,Transfer Out,10000.0,32000.0,"Transfer to SAV-474520FD"
TXN-7CA2FEDD,2026-07-30T22:45:18.028248200,Transfer In,20000.0,52000.0,"Transfer from CUR-707DF01D"
TXN-EE089A64,2026-07-30T22:45:18.034823800,Interest Credit,520.0,52520.0,"Quarterly interest applied"
TXN-5EA9D63A,2026-07-30T22:45:18.043511700,Credit,200000.0,252520.0,"Loan disbursement: LOAN-A0A2C58B"
TXN-6BA65581,2026-07-30T22:45:18.046062200,Debit,6595.201286565048,245924.79871343495,"EMI payment: LOAN-A0A2C58B"
TXN-E8A2CA5B,2026-07-30T22:45:18.046062200,Debit,6595.201286565048,239329.5974268699,"EMI payment: LOAN-A0A2C58B"
TXN-AD1571D6,2026-07-30T22:45:18.047064800,Debit,6595.201286565048,232734.39614030486,"EMI payment: LOAN-A0A2C58B"
